student_id,student_first_name,student_last_name,student_email,student_start_year
1,Danielle,Johnson,johnson_danielle@student.ceu.edu,2021
2,Joshua,Walker,walker_joshua@student.ceu.edu,2021
3,Jill,Rhodes,rhodes_jill@student.ceu.edu,2023
4,Patricia,Miller,miller_patricia@student.ceu.edu,2022
5,Robert,Johnson,johnson_robert@student.ceu.edu,2022
6,Jeffery,Wagner,wagner_jeffery@student.ceu.edu,2022
7,Anthony,Gonzalez,gonzalez_anthony@student.ceu.edu,2021
8,Debra,Gardner,gardner_debra@student.ceu.edu,2025
9,Jeffrey,Lawrence,lawrence_jeffrey@student.ceu.edu,2021
10,Lisa,Smith,smith_lisa@student.ceu.edu,2025
11,Linda,Wolfe,wolfe_linda@student.ceu.edu,2024
12,Matthew,Moore,moore_matthew@student.ceu.edu,2021
13,Susan,Rogers,rogers_susan@student.ceu.edu,2021
14,Christopher,Davis,davis_christopher@student.ceu.edu,2021
15,Melanie,Munoz,munoz_melanie@student.ceu.edu,2022
16,Lindsay,Blair,blair_lindsay@student.ceu.edu,2022
17,Amanda,Dudley,dudley_amanda@student.ceu.edu,2025
18,Nicholas,Arnold,arnold_nicholas@student.ceu.edu,2025
19,Maria,Montgomery,montgomery_maria@student.ceu.edu,2021
20,Michelle,Ray,ray_michelle@student.ceu.edu,2025
21,Janet,Williams,williams_janet@student.ceu.edu,2022
22,Jeremy,Roberts,roberts_jeremy@student.ceu.edu,2025
23,Christopher,Hall,hall_christopher@student.ceu.edu,2024
24,Craig,Ramirez,ramirez_craig@student.ceu.edu,2022
25,Cynthia,Diaz,diaz_cynthia@student.ceu.edu,2024
26,Mitchell,Clark,clark_mitchell@student.ceu.edu,2025
27,Joseph,Zuniga,zuniga_joseph@student.ceu.edu,2023
28,Deborah,Lynch,lynch_deborah@student.ceu.edu,2021
29,George,Daniel,daniel_george@student.ceu.edu,2022
30,Frank,Gray,gray_frank@student.ceu.edu,2024
31,Veronica,Bowman,bowman_veronica@student.ceu.edu,2023
32,Angela,Cohen,cohen_angela@student.ceu.edu,2023
33,Megan,Parsons,parsons_megan@student.ceu.edu,2022
34,Jeremy,Johnson,johnson_jeremy@student.ceu.edu,2022
35,Leslie,Adams,adams_leslie@student.ceu.edu,2023
36,Jason,Hahn,hahn_jason@student.ceu.edu,2021
37,Nancy,Edwards,edwards_nancy@student.ceu.edu,2021
38,Diana,Foster,foster_diana@student.ceu.edu,2024
39,Robin,Ellis,ellis_robin@student.ceu.edu,2021
40,Joseph,Wright,wright_joseph@student.ceu.edu,2023
41,Anna,Baker,baker_anna@student.ceu.edu,2023
42,Brenda,Hurst,hurst_brenda@student.ceu.edu,2025
43,Reginald,Robinson,robinson_reginald@student.ceu.edu,2023
44,Whitney,Hicks,hicks_whitney@student.ceu.edu,2021
45,Christopher,Williams,williams_christopher@student.ceu.edu,2024
46,Daniel,Burton,burton_daniel@student.ceu.edu,2025
47,Laura,Henderson,henderson_laura@student.ceu.edu,2021
48,Bryan,James,james_bryan@student.ceu.edu,2024
49,Wendy,Rice,rice_wendy@student.ceu.edu,2021
50,Tasha,Valencia,valencia_tasha@student.ceu.edu,2025
51,Alexander,Le,le_alexander@student.ceu.edu,2023
52,Erin,Herrera,herrera_erin@student.ceu.edu,2025
53,Joseph,Davidson,davidson_joseph@student.ceu.edu,2023
54,Daniel,Graham,graham_daniel@student.ceu.edu,2025
55,Shawn,Mckay,mckay_shawn@student.ceu.edu,2022
56,Nancy,Baker,baker_nancy@student.ceu.edu,2021
57,Vincent,White,white_vincent@student.ceu.edu,2021
58,Rita,Harrell,harrell_rita@student.ceu.edu,2022
59,Kenneth,Fowler,fowler_kenneth@student.ceu.edu,2023
60,Chelsea,Hernandez,hernandez_chelsea@student.ceu.edu,2021
